dataset,Qwen3-VL-Embedding-2B (paper),Qwen3-VL-Embedding-8B (paper),VLM2Vec-Qwen2VL-7B (paper),VLM2Vec-V2.0-2B (paper),GME-7B (paper),WAVE-7B (paper),Omni-Embed-Nemotron-3B (paper),Omni-Embed-Nemotron-3B (reproduced),diff (repro - paper),eval_time_s,eval_time
apibank,62.4,58.4,1.0,38.6,52.5,0.0,45.5,45.5,0.0,93,1m33
apigen,55.4,55.5,49.3,46.5,54.0,23.8,64.1,63.7,-0.4,106,1m46
appbench,71.9,84.4,65.6,65.6,81.2,71.9,87.5,87.5,0.0,4,0m04
autotools-food,50.0,50.0,9.1,4.6,18.2,0.0,13.6,13.6,0.0,72,1m12
autotools-music,12.5,37.5,0.0,0.0,0.0,0.0,6.2,3.1,-3.1,72,1m12
autotools-weather,18.2,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,1m11
craft-math-algebra,84.6,83.9,57.1,65.0,84.6,17.5,85.0,85.0,0.0,8,0m08
craft-tabmwp,36.8,34.5,10.9,14.4,27.6,4.0,29.9,29.3,-0.6,8,0m08
craft-vqa,52.0,54.5,23.0,43.5,60.5,12.5,64.5,64.5,0.0,7,0m07
gorilla-huggingface,26.4,28.4,18.6,20.2,24.6,6.4,26.6,26.6,0.0,9,0m09
gorilla-pytorch,11.6,9.3,0.0,4.7,14.0,2.3,11.6,11.6,0.0,7,0m07
gorilla-tensor,16.4,16.4,1.8,7.3,21.8,1.8,20.0,20.0,0.0,7,0m07
gpt4tools,84.4,68.8,28.1,46.9,81.2,50.0,75.0,75.0,0.0,4,0m04
gta,14.3,21.4,14.3,0.0,35.7,0.0,42.9,42.9,0.0,4,0m04
metatool,52.5,51.5,32.0,44.0,54.0,26.5,50.0,48.5,-1.5,4,0m04
mnms,36.4,30.3,27.3,30.3,30.3,21.2,39.4,42.4,3.0,74,1m14
restgpt-spotify,60.0,67.5,27.5,12.5,20.0,0.0,25.0,25.0,0.0,72,1m12
restgpt-tmdb,37.0,38.9,0.0,0.0,11.1,0.0,16.7,16.7,0.0,72,1m12
reversechain,61.0,57.5,22.5,51.5,54.5,0.5,50.0,51.0,1.0,78,1m18
rotbench,3.3,4.2,1.1,1.8,7.3,1.1,7.1,6.9,-0.2,90,1m30
t-eval-dialog,24.0,20.0,26.0,22.0,34.0,0.0,16.0,14.0,-2.0,74,1m14
t-eval-step,16.0,12.0,38.0,10.0,30.0,8.0,10.0,10.0,0.0,72,1m12
taskbench-daily,65.0,62.5,45.0,52.5,72.5,2.5,67.5,67.5,0.0,72,1m12
taskbench-huggingface,60.9,39.1,4.3,56.5,56.5,8.7,52.2,52.2,0.0,4,0m04
taskbench-multimedia,70.0,62.5,32.5,65.0,87.5,42.5,77.5,77.5,0.0,4,0m04
tool-be-honest,51.1,49.1,47.1,46.0,55.4,23.1,55.1,54.6,-0.5,5,0m05
toolace,65.7,62.3,33.3,56.4,69.0,24.3,67.1,67.1,0.0,107,1m47
toolalpaca,62.8,67.0,26.6,51.1,59.6,27.7,48.9,48.9,0.0,4,0m04
toolbench,40.6,36.0,6.0,24.8,17.4,4.6,13.1,13.4,0.3,114,1m54
toolbench-sam,11.7,11.7,1.0,4.1,7.6,3.0,8.6,8.1,-0.5,5,0m05
toolemu,31.6,26.3,0.0,10.5,13.2,0.0,34.2,34.2,0.0,73,1m13
tooleyes,19.0,20.0,4.2,15.8,20.0,0.0,10.5,10.5,0.0,74,1m14
toolink,67.8,67.6,36.4,40.4,66.4,25.0,66.8,66.8,0.0,9,0m09
toollens,8.0,7.0,1.3,8.9,1.3,1.6,1.0,1.0,0.0,81,1m21
ultratool,50.6,41.2,0.4,4.6,40.4,5.2,43.8,43.8,0.0,88,1m28
AVG (n=35),42.6,41.3,19.8,27.6,39.0,11.9,38.1,38.0,-0.1,,
