dataset,Qwen3-VL-Embedding-2B (paper),Qwen3-VL-Embedding-8B (paper),VLM2Vec-Qwen2VL-7B (paper),VLM2Vec-V2.0-2B (paper),GME-7B (paper),WAVE-7B (paper),Omni-Embed-Nemotron-3B (paper),"Omni-Embed-Nemotron-3B (reproduced,hit@1)",diff,eval_time_s,eval_time
ActivityNetQA,72.9,80.3,51.4,53.0,66.0,71.3,58.0,58.7,0.7,107,1m47
Breakfast,36.7,38.8,23.6,14.8,13.9,21.2,33.0,33.0,0.0,13,0m13
Charades-STA,31.5,26.4,18.6,20.1,13.9,27.8,12.0,13.2,1.2,806,13m26
DiDeMo,47.9,44.9,29.6,30.0,26.3,29.8,42.0,41.9,-0.1,54,0m54
EgoSchema,62.6,64.8,22.2,35.0,46.4,47.8,54.2,54.6,0.4,29,0m29
HMDB51,68.8,75.5,41.9,40.2,48.0,54.2,52.3,51.9,-0.4,26,0m26
K700,55.2,51.7,35.4,38.2,39.6,54.2,42.7,43.2,0.5,90,1m30
MSR-VTT,48.3,50.1,34.7,27.8,31.8,37.3,40.8,40.3,-0.5,27,0m27
MSVD,70.4,72.8,46.7,47.3,49.6,60.9,60.6,60.0,-0.6,43,0m43
MVBench,56.2,64.8,28.6,33.6,46.3,41.4,40.7,42.9,2.2,675,11m15
MomentSeeker,48.2,49.9,41.0,42.9,39.3,36.4,39.5,38.2,-1.3,852,14m12
NExTQA,65.4,72.4,20.3,20.9,53.5,36.8,45.1,45.0,-0.1,410,6m50
QVHighlight,74.0,71.3,57.9,49.7,59.4,54.5,22.0,21.0,-1.0,450,7m30
SmthSmthV2,66.0,73.3,32.0,43.0,30.5,49.8,46.1,46.3,0.2,59,0m59
UCF101,83.7,85.5,62.1,60.0,54.4,74.1,66.9,66.7,-0.2,25,0m25
VATEX,42.5,45.4,25.4,26.2,24.7,34.2,32.4,32.7,0.3,360,6m00
Video-MME,51.3,55.6,28.0,30.8,39.2,32.3,37.4,38.2,0.8,391,6m31
YouCook2,25.1,31.1,9.0,10.6,8.9,11.4,18.5,18.7,0.2,172,2m52
AVG (18),,,,,,,41.3,41.5,0.2,,
