dataset,Qwen3-VL-Embedding-2B (paper),Qwen3-VL-Embedding-8B (paper),VLM2Vec-Qwen2VL-7B (paper),VLM2Vec-V2.0-2B (paper),GME-7B (paper),WAVE-7B (paper),Omni-Embed-Nemotron-3B (paper),"Qwen3-VL-Embedding-2B (reproduced, hit@1)",diff (repro - paper 2B),eval_time_s
GAE-guiact-q2s,19.8,29.5,7.7,25.9,31.3,5.5,26.2,20.3,0.5,388
GAE-guiact-q2t,48.4,46.3,42.6,52.6,31.3,7.4,39.4,49.3,0.9,380
GAE-guiact-s2s,25.5,30.2,33.2,35.8,32.7,17.2,39.2,25.9,0.4,416
GAE-guiact-t2s,25.0,24.9,8.6,24.1,17.1,5.9,19.2,25.6,0.6,561
GAE-mind2web-q2s,27.1,37.7,12.2,43.0,42.1,10.9,40.8,26.2,-0.9,122
GAE-mind2web-q2t,44.3,37.2,32.4,47.8,32.4,11.9,34.4,43.1,-1.2,265
GAE-mind2web-s2s,30.2,35.2,32.4,37.1,37.1,28.0,37.7,31.2,1.0,129
GAE-mind2web-t2s,23.1,27.4,1.9,23.4,15.9,7.8,23.1,24.3,1.2,174
AVG (n=8),,,,,,,,30.7,0.3,2435
PAPER category avg (Qwen3-VL-Embedding-2B),,,,,,,,30.4,,
